date,symbol,action,confidence,actual_return,equity
164,000001,hold,0.3198,0.0169189670525378,99648.32473357755
165,000001,buy,0.4345,-0.008756567425569146,100736.62465411129
166,000001,hold,0.3219,0.001766784452296782,100141.97525118718
167,000001,hold,0.3228,-0.008818342151675453,100260.905131772
168,000001,hold,0.3236,0.007117437722419935,99666.25572884789
169,000001,hold,0.5254,-0.004416961130742112,100141.97525118718
170,000001,hold,0.3252,-0.007985803016858905,99844.6505497251
171,000001,hold,0.3261,-0.0053667262969589,99309.46608709342
172,000001,sell,0.6317,0.003597122302158357,98853.521987438
173,000001,sell,0.6315,-0.0008960573476702318,98853.521987438
174,000001,sell,0.6311,-0.007174887892376688,98853.521987438
175,000001,sell,0.631,-0.009033423667569977,98853.521987438
176,000001,sell,0.439,0.0036463081130354734,98853.521987438
177,000001,sell,0.4399,-0.0018165304268846117,98853.521987438
178,000001,sell,0.4404,0.013648771610555083,98853.521987438
179,000001,hold,0.3286,-0.0026929982046679656,98853.521987438
180,000001,hold,0.3286,0.004500450045004565,98853.521987438
181,000001,hold,0.3286,0.009856630824372709,98853.521987438
182,000001,hold,0.5259,-0.0017746228926352773,98853.521987438
183,000001,hold,0.5258,-0.008888888888888858,98853.521987438
184,000001,hold,0.3284,0.003587443946188264,98853.521987438
185,000001,hold,0.3285,-0.0017873100983020174,98853.521987438
186,000001,hold,0.3283,0.0017905102954341606,98853.521987438
187,000001,hold,0.3287,-0.0017873100983020174,98853.521987438
188,000001,hold,0.3288,0.0017905102954341606,98853.521987438
189,000001,hold,0.3288,-0.007149240393208228,98853.521987438
190,000001,hold,0.3287,-0.005400540054005286,98853.521987438
191,000001,hold,0.329,0.007239819004524893,98853.521987438
192,000001,hold,0.3291,0.015274034141958662,98853.521987438
193,000001,hold,0.5265,-0.0026548672566372687,98853.521987438
194,000001,hold,0.5265,-0.01153504880212946,98853.521987438
195,000001,hold,0.3303,-0.004488330341113169,98853.521987438
196,000001,hold,0.3305,0.001803426510369664,98853.521987438
197,000001,hold,0.3304,-0.000900090009000881,98853.521987438
198,000001,sell,0.6352,-0.009009009009008978,98853.521987438
199,000001,sell,0.4485,-0.00454545454545461,98853.521987438
200,000001,sell,0.4492,-0.01095890410958897,98853.521987438
201,000001,sell,0.45,-0.005540166204986196,98853.521987438
202,000001,sell,0.451,0.0027855153203343677,98853.521987438
203,000001,sell,0.452,-0.007407407407407414,98853.521987438
204,000001,sell,0.4525,0.0,98853.521987438
205,000001,sell,0.453,-0.007462686567164185,98853.521987438
206,000001,sell,0.4529,-0.0028195488721805577,98853.521987438
207,000001,sell,0.4529,-0.0018850141376059919,98853.521987438
208,000001,sell,0.4529,-0.009442870632672299,98853.521987438
209,000001,sell,0.4528,0.011439466158245874,98853.521987438
210,000001,hold,0.3227,-0.012252591894439115,98853.521987438
211,000001,sell,0.4534,0.002862595419847267,98853.521987438
212,000001,sell,0.4536,-0.0019029495718363059,98853.521987438
213,000001,sell,0.4532,0.012392755004766349,98853.521987438
214,000001,hold,0.322,0.011299435028248681,98853.521987438
215,000001,hold,0.3219,-0.0037243947858473857,98853.521987438
216,000001,hold,0.3215,0.0018691588785047992,98853.521987438
217,000001,hold,0.3217,-0.0009328358208955024,98853.521987438
218,000001,hold,0.3214,0.0009337068160597372,98853.521987438
219,000001,hold,0.3214,-0.01026119402985086,98853.521987438
